MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,180,80,170,150,180,170,300,330,110,140,160,120,170,180,100,110,110,170,160,200,2.5686127305030824
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,200,80,150,170,150,180,300,290,190,210,240,140,200,200,180,80,120,250,370,270,2.56056489944458
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,220,150,170,190,70,130,210,340,190,110,310,130,160,170,180,90,100,160,100,110,2.5627257227897644
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,200,180,240,130,190,90,310,160,190,160,160,150,180,130,110,230,130,280,160,140,2.569415807723999
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,150,160,130,220,190,170,280,220,170,110,170,200,200,130,170,140,140,150,230,230,2.5739399790763855
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt; get_player,170,230,160,170,120,160,140,90,190,170,280,130,180,210,120,150,130,120,120,170,2.58476779460907
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt; get_player,180,70,180,130,90,140,120,200,270,140,240,90,90,290,190,300,120,240,180,210,2.5922512888908384
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt; get_player,160,130,280,220,90,160,230,280,140,140,140,120,150,130,130,160,100,170,140,250,2.5741950392723085
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt; get_player,270,110,210,150,260,140,200,130,160,120,170,100,180,290,120,80,120,160,150,130,2.5954240679740908
MCTS__1s,mcts_player.py,One card; reuse; get_cnt; get_player,310,190,160,190,210,230,220,250,330,180,220,130,160,280,120,170,120,300,170,200,25.113097655773164
MCTS__1s,mcts_player.py,One card; reuse; get_cnt,270,180,220,260,210,170,210,170,180,170,320,240,310,330,100,180,130,210,210,250,25.087296962738037
MCTS__1s,mcts_player.py,One card; reuse; get_cnt; uct-parent,200,180,200,200,150,210,200,180,170,170,190,170,210,150,100,230,120,300,210,230,25.107883179187773
MCTS__1s,mcts_player.py,One card; reuse; get_cnt; /,290,120,160,230,150,190,180,250,120,200,230,180,300,290,140,170,140,230,170,200,25.09534285068512
MCTS__1s,mcts_player.py,One card; reuse; get_cnt,200,170,290,190,220,200,180,310,130,130,210,210,220,160,120,130,190,280,190,170,25.091535663604738
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,230,120,110,110,330,200,300,180,190,110,210,190,140,290,140,170,120,230,150,180,2.5789554119110107
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,170,160,130,120,110,170,240,140,180,180,360,140,140,180,100,240,240,150,130,140,2.5907742619514464
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,340,100,120,210,140,170,170,200,180,160,200,150,190,150,220,130,160,160,180,210,2.564831817150116
MCTS__100ms,mcts_player.py,One card; reuse; get_cnt,230,160,140,150,160,180,280,210,160,90,260,110,150,440,120,160,170,180,200,200,2.5738035440444946
Cpp__100ms,cpp2/,c++ MCTS lib,230,100,120,120,60,120,260,90,80,180,120,110,210,180,100,80,80,150,200,140,2.5031304121017457
Cpp__1000ms,cpp2/,c++ MCTS lib,160,90,100,120,80,130,300,80,70,90,220,50,160,120,130,130,90,80,110,270,25.00340301990509
